FinishTime,ArrivalTime,ServiceTime
1569.37,1562.74,0
1570.5,1564.59,0
1571.53,1566.74,0
1573.36,1567.78,0
1574.74,1568.37,0
1577.37,1572.36,0
1578.52,1573.74,0
1579.52,1575.11,0
1581.76,1578.52,0
1584.25,1580.35,0
1585.58,1582.41,0
1587.75,1584.51,0
1588.75,1584.51,0
1589.75,1584.51,0
1591.47,1584.58,0
1594.14,1586.75,0
1595.27,1590.47,0
1596.27,1590.47,0
1597.27,1590.47,0
1598.96,1592.86,0
1600.8,1593.14,0
1603.9,1601.21,0
1604.9,1601.21,0
1607.58,1602.9,0
1608.8,1605.49,0
1610.44,1605.59,0
1611.44,1605.59,0
1615.66,1612.98,0
1616.77,1613.76,0
1619.35,1614.66,0
1621.92,1618.35,0
1622.92,1618.35,0
1624.77,1620.92,0
1627.69,1623.61,0
1632.23,1629.46,0
1633.49,1629.94,0
1634.49,1629.94,0
1636.26,1631.23,0
1638.64,1635.01,0
1640.73,1636.73,0
1642.12,1637.6,0
1646.97,1644.44,0
1649.32,1645.86,0
1650.67,1645.97,0
1651.67,1645.97,0
1653.31,1647.59,0
1655.09,1648.32,0
1656.39,1651.74,0
1657.39,1651.74,0
1659.5,1654.09,0
1661.4,1659.92,0
1663.74,1660.38,0
1664.74,1660.38,0
1666.15,1662.05,0
1667.15,1662.05,0
1668.15,1662.05,0
1670.41,1664.77,0
1671.41,1664.77,0
1673.9,1669.41,0
1674.9,1669.41,0
1675.9,1669.41,0
1676.9,1669.41,0
1677.9,1669.41,0
1678.9,1669.41,0
1682.63,1679.2,0
1684.86,1683.07,0
1686.86,1683.74,0
1688.93,1683.86,0
1691.45,1687.93,0
1697.42,1694.41,0
1698.42,1694.41,0
1699.86,1694.62,0
1700.86,1694.62,0
1703.15,1696.42,0
1704.47,1698.86,0
1706.15,1701.75,0
1707.15,1701.75,0
1708.86,1701.86,0
1711.36,1705.15,0
1712.61,1707.86,0
1714.47,1710.36,0
1715.86,1713.11,0
1718.06,1714.69,0
1719.06,1714.69,0
1720.07,1714.86,0
1721.7,1716.3,0
1722.7,1716.3,0
1724.58,1716.61,0
1726.64,1719.07,0
1727.67,1720.7,0
1731.15,1727.7,0
1735.61,1731.88,0
1737.61,1732.86,0
1738.61,1732.86,0
1739.61,1732.86,0
1742.08,1734.27,0
1743.72,1734.61,0
1745.18,1741.08,0
1746.29,1742.72,0
1747.29,1742.72,0
1750.06,1745.29,0
1751.4,1748,0
1752.49,1748.5,0
1753.49,1748.5,0
1755.38,1748.59,0
1756.38,1748.59,0
1758.19,1750.4,0
1759.28,1751.49,0
1760.42,1754.38,0
1761.91,1756.42,0
1762.91,1756.42,0
1763.91,1756.42,0
1765.7,1757.19,0
1766.77,1758.28,0
1768.98,1764.7,0
1769.98,1764.7,0
1772.81,1767.95,0
1773.81,1767.95,0
1775.04,1767.98,0
1776.66,1770.56,0
1777.66,1770.56,0
1778.66,1770.56,0
1779.69,1771.49,0
1781.19,1778.69,0
1782.19,1778.69,0
1783.19,1778.69,0
1784.19,1778.69,0
1786.18,1779.97,0
1787.18,1779.97,0
1788.99,1780.19,0
1790.02,1784.61,0
1791.25,1785.18,0
1793.36,1789.02,0
1795.06,1790.25,0
1796.11,1791.74,0
1797.77,1794.06,0
1798.77,1794.06,0
1799.77,1794.06,0
1801.6,1796.2,0
1805.21,1802.53,0
1806.77,1802.61,0
